,user_id,item_id,rating
0,0,1,5
1,0,2,3
2,0,3,4
3,0,4,3
4,0,5,3
5,0,7,4
6,0,8,1
7,0,9,5
8,0,11,2
9,0,13,5
10,0,15,5
11,0,16,5
12,0,18,4
13,0,19,5
14,0,21,1
15,0,22,4
16,0,25,4
17,0,26,3
18,0,28,4
19,0,29,1
20,0,30,3
21,0,32,5
22,0,34,2
23,0,35,1
24,0,37,2
25,0,38,3
26,0,40,3
27,0,41,2
28,0,42,5
29,0,43,4
30,0,45,5
31,0,46,4
32,0,48,5
33,0,50,5
34,0,52,4
35,0,55,5
36,0,57,5
37,0,58,4
38,0,59,5
39,0,63,2
40,0,66,4
41,0,68,4
42,0,71,3
43,0,75,4
44,0,77,4
45,0,79,4
46,0,83,3
47,0,87,5
48,0,88,4
49,0,89,5
50,0,93,5
51,0,94,2
52,0,95,4
53,0,99,3
54,0,101,2
55,0,105,2
56,0,106,4
57,0,109,5
58,0,110,1
59,0,111,5
60,0,115,5
61,0,116,3
62,0,119,5
63,0,122,3
64,0,123,4
65,0,124,5
66,0,126,2
67,0,127,5
68,0,131,1
69,0,133,4
70,0,135,4
71,0,136,3
72,0,137,5
73,0,138,1
74,0,139,3
75,0,141,3
76,0,142,2
77,0,144,4
78,0,146,4
79,0,147,3
80,0,149,2
81,0,152,5
82,0,153,3
83,0,156,4
84,0,158,3
85,0,162,4
86,0,165,5
87,0,166,5
88,0,167,2
89,0,168,5
90,0,169,5
91,0,172,5
92,0,173,5
93,0,176,5
94,0,178,5
95,0,179,3
96,0,181,5
97,0,182,4
98,0,187,4
99,0,191,5
100,0,192,4
101,0,194,4
102,0,195,5
103,0,197,5
104,0,198,5
105,0,199,4
106,0,203,4
107,0,204,5
108,0,205,3
109,0,207,5
110,0,211,3
111,0,216,5
112,0,217,3
113,0,220,3
114,0,223,5
115,0,231,1
116,0,234,4
117,0,237,2
118,0,238,4
119,0,239,4
120,0,240,3
121,0,244,2
122,0,245,2
123,0,246,5
124,0,247,1
125,0,249,4
126,0,251,4
127,0,256,4
128,0,257,4
129,0,261,1
130,0,263,1
131,0,268,5
132,0,269,5
133,0,270,5
134,0,271,2
135,1,1,4
136,1,10,2
137,1,14,4
138,1,25,4
139,1,100,5
140,1,111,4
141,1,127,5
142,1,237,4
143,1,242,5
144,1,255,4
145,1,258,3
146,1,269,4
147,1,272,5
148,1,273,4
149,1,274,3
150,1,275,5
151,1,276,4
152,1,277,4
153,1,278,3
154,1,282,4
155,1,283,5
156,1,284,4
157,1,285,5
158,1,286,4
159,1,287,3
160,1,288,3
161,1,289,3
162,1,291,3
163,1,293,4
164,1,294,1
165,1,295,4
166,1,296,3
167,1,300,4
168,1,302,5
169,1,304,4
170,1,305,3
171,1,306,4
172,1,309,1
173,1,310,4
174,1,311,5
175,2,181,4
176,2,258,2
177,2,260,4
178,2,268,3
179,2,271,3
180,2,288,2
181,2,302,2
182,2,303,3
183,2,317,2
184,2,319,2
185,2,320,5
186,2,321,5
187,2,322,3
188,2,325,1
189,2,326,2
190,2,329,4
191,2,333,2
192,2,336,1
193,2,338,2
194,2,339,3
195,2,340,5
196,2,342,4
197,2,344,4
198,2,346,5
199,2,347,5
200,2,352,2
201,2,353,1
202,2,355,3
203,3,11,4
204,3,210,3
205,3,258,5
206,3,271,4
207,3,300,5
208,3,301,5
209,3,324,5
210,3,327,5
211,3,328,3
212,3,329,5
213,3,358,2
214,3,359,5
215,3,360,5
216,3,362,5
217,4,21,3
218,4,25,3
219,4,29,4
220,4,50,4
221,4,63,1
222,4,66,1
223,4,70,4
224,4,95,4
225,4,99,3
226,4,101,5
227,4,105,3
228,4,121,4
229,4,135,4
230,4,145,1
231,4,151,3
232,4,162,1
233,4,163,5
234,4,168,3
235,4,169,5
236,4,172,5
237,4,174,5
238,4,181,5
239,4,183,4
240,4,186,5
241,4,189,5
242,4,194,4
243,4,200,2
244,4,204,4
245,4,208,4
246,4,210,3
247,4,216,1
248,4,226,3
249,4,228,5
250,4,229,2
251,4,233,4
252,4,235,4
253,4,239,4
254,4,250,3
255,4,257,5
256,4,365,1
257,4,366,3
258,4,367,3
259,4,368,1
260,4,371,1
261,4,373,3
262,4,374,3
263,4,375,3
264,4,378,1
265,4,380,3
266,4,381,1
267,4,383,3
268,4,386,2
269,4,387,3
270,4,390,5
271,4,392,2
272,4,395,2
273,4,396,5
274,4,398,2
275,4,399,3
276,4,401,5
277,4,404,2
278,4,405,3
279,4,406,1
280,4,408,5
281,4,409,2
282,4,412,3
283,4,414,3
284,4,415,1
285,4,416,1
286,4,419,3
287,4,420,3
288,4,425,2
289,4,427,3
290,4,430,5
291,4,431,3
292,4,432,4
293,4,434,5
294,4,437,1
295,4,438,1
296,4,440,1
297,4,442,1
298,4,443,4
299,4,446,4
300,4,447,3
301,4,448,2
302,4,449,2
303,4,450,1
304,4,451,1
305,4,452,1
306,4,455,4
307,4,456,1
308,5,1,4
309,5,7,2
310,5,8,4
311,5,9,4
312,5,12,4
313,5,13,2
314,5,21,3
315,5,22,3
316,5,47,3
317,5,50,4
318,5,64,4
319,5,71,4
320,5,79,3
321,5,89,4
322,5,111,2
323,5,127,5
324,5,132,5
325,5,137,5
326,5,153,4
327,5,165,5
328,5,166,4
329,5,168,4
330,5,169,4
331,5,170,4
332,5,173,5
333,5,174,4
334,5,177,4
335,5,178,4
336,5,182,4
337,5,185,5
338,5,186,4
339,5,191,4
340,5,192,4
341,5,194,4
342,5,200,3
343,5,202,3
344,5,203,3
345,5,216,5
346,5,223,4
347,5,237,2
348,5,242,4
349,5,246,3
350,5,257,2
351,5,259,1
352,5,261,3
353,5,268,3
354,5,272,4
355,5,274,4
356,5,285,3
357,5,293,3
358,5,298,3
359,5,302,4
360,5,303,3
361,5,306,4
362,5,308,3
363,5,309,2
364,5,310,2
365,5,317,3
366,5,321,3
367,5,340,2
368,5,367,2
369,5,405,1
370,5,408,4
371,5,410,4
372,5,419,4
373,5,425,3
374,5,427,4
375,5,435,4
